source,original_path,class,original_split,filename,bbox_location,bbox_label,split,unified_path,original_category
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\78_1.jpg,diabetic,train,78_1.jpg,275,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_78_1.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0035.jpg,diabetic,,toes-0035.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0035.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\69_0.jpg,diabetic,train,69_0.jpg,237,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_69_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\65_0.jpg,diabetic,test,65_0.jpg,284,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_65_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\107_0.jpg,diabetic,train,107_0.jpg,83,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_107_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-3-5.jpg,diabetic,,foot-ulcer-3-5.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-3-5.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0018.jpg,diabetic,,toes-0018.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0018.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0014.jpg,diabetic,,foot-ulcer-0014.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0014.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\110_0.jpg,diabetic,train,110_0.jpg,302,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_110_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0040.jpg,diabetic,,toes-0040.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0040.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0026.jpg,diabetic,,foot-ulcer-0026.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0026.jpg,foot-ulcers
