epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9015,1.21203,1.68267,1.7384,0.96699,0.97636,0.98901,0.81235,0.64784,1.65108,1.07686,0.000653061,0.000653061,0.000653061
2,19.4409,0.81354,0.90347,1.30369,0.97496,0.97619,0.99327,0.82157,0.62935,0.80895,1.05495,0.0012936,0.0012936,0.0012936
3,27.9706,0.76925,0.75606,1.27148,0.96166,0.9381,0.98091,0.83842,0.66341,0.80522,1.06024,0.00190773,0.00190773,0.00190773
4,36.5657,0.76927,0.68685,1.26698,0.99047,0.98998,0.99462,0.79786,0.88753,0.64278,1.42312,0.0018812,0.0018812,0.0018812
5,45.2647,0.70466,0.57628,1.21672,0.85656,0.90995,0.90761,0.62112,0.71208,1.10563,1.11642,0.0018416,0.0018416,0.0018416
6,54.169,0.6813,0.55258,1.21056,0.98578,0.99024,0.99447,0.84493,0.6861,0.50106,1.10457,0.001802,0.001802,0.001802
7,63.1913,0.68185,0.52091,1.2164,0.30734,0.78571,0.31736,0.21001,0.89109,2.3134,1.40842,0.0017624,0.0017624,0.0017624
8,72.6768,0.66479,0.48528,1.19356,0.90607,0.96463,0.97683,0.82007,0.60627,0.72358,1.05139,0.0017228,0.0017228,0.0017228
9,82.2192,0.62291,0.45784,1.17026,0.98068,0.99524,0.99432,0.93346,0.48658,0.43213,0.92594,0.0016832,0.0016832,0.0016832
10,92.2155,0.63052,0.44407,1.17268,1,0.99511,0.995,0.86446,0.55721,0.41945,1.01609,0.0016436,0.0016436,0.0016436
11,102.356,0.60633,0.44082,1.15199,0.98573,0.98684,0.99476,0.87797,0.5721,0.38437,0.94677,0.001604,0.001604,0.001604
12,112.969,0.60199,0.41823,1.14405,0.93204,0.97966,0.98998,0.84145,0.62123,0.51218,1.03877,0.0015644,0.0015644,0.0015644
13,123.881,0.61478,0.41374,1.16309,0.99482,1,0.995,0.92164,0.39333,0.30447,0.76944,0.0015248,0.0015248,0.0015248
14,135.049,0.60719,0.4102,1.15956,1,0.99014,0.995,0.89552,0.5501,0.41571,0.95797,0.0014852,0.0014852,0.0014852
15,146.304,0.55499,0.40478,1.11122,0.98098,0.99048,0.99472,0.90777,0.4588,0.33632,0.86821,0.0014456,0.0014456,0.0014456
16,157.732,0.54771,0.38749,1.13076,0.9936,0.99524,0.99457,0.87607,0.51018,0.39908,0.95173,0.001406,0.001406,0.001406
17,169.249,0.54172,0.3873,1.11644,0.9993,1,0.995,0.88994,0.5501,0.33529,0.92328,0.0013664,0.0013664,0.0013664
18,181.002,0.52219,0.37037,1.09932,0.97785,0.99048,0.99442,0.93811,0.47874,0.40014,0.84582,0.0013268,0.0013268,0.0013268
19,193.154,0.54485,0.37636,1.11756,1,0.98503,0.99477,0.86725,0.65765,0.3381,0.9712,0.0012872,0.0012872,0.0012872
20,204.805,0.53727,0.35715,1.10407,0.98139,0.99048,0.99413,0.92592,0.42914,0.33836,0.88738,0.0012476,0.0012476,0.0012476
21,218.296,0.52935,0.35662,1.11741,0.9966,0.99524,0.995,0.88571,0.50531,0.31795,0.93636,0.001208,0.001208,0.001208
